Title                                                           14.02.2022 14:36
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  !&]3[PETBT 1402
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]        [Wg^-1]
            152            152        45.2864        45.3333      -0.170135
            153            153         45.453           45.5      -0.170093
            154            154        45.6197        45.6667      -0.170039
            155            155        45.7863        45.8333       -0.16999
            156            156        45.9529             46      -0.169953
            157            157        46.1196        46.1667      -0.169919
            158            158        46.2862        46.3333      -0.169878
            159            159        46.4528           46.5       -0.16984
            160            160        46.6195        46.6667      -0.169802
            161            161        46.7861        46.8333      -0.169754
            162            162        46.9527             47      -0.169712
            163            163        47.1194        47.1667      -0.169681
            164            164         47.286        47.3333      -0.169653
            165            165        47.4526           47.5      -0.169637
            166            166        47.6192        47.6667      -0.169641
            167            167        47.7859        47.8333      -0.169636
            168            168        47.9525             48      -0.169624
            169            169        48.1191        48.1667      -0.169602
            170            170        48.2857        48.3333      -0.169586
            171            171        48.4524           48.5      -0.169574
            172            172         48.619        48.6667      -0.169557
            173            173        48.7856        48.8333      -0.169534
            174            174        48.9522             49      -0.169503
            175            175        49.1189        49.1667       -0.16948
            176            176        49.2855        49.3333       -0.16946
            177            177        49.4521           49.5      -0.169447
            178            178        49.6188        49.6667      -0.169424
            179            179        49.7854        49.8333      -0.169393
            180            180         49.952             50      -0.169354
            181            181        50.1187        50.1667      -0.169301
            182            182        50.2853        50.3333      -0.169243
            183            183        50.4519           50.5      -0.169196
            184            184        50.6186        50.6667      -0.169153
            185            185        50.7852        50.8333      -0.169111
            186            186        50.9518             51      -0.169072
            187            187        51.1185        51.1667      -0.169047
            188            188        51.2851        51.3333      -0.169034
            189            189        51.4517           51.5      -0.169053
            190            190        51.6183        51.6667      -0.169057
            191            191        51.7849        51.8333      -0.169081
            192            192        51.9516             52      -0.169074
            193            193        52.1182        52.1667      -0.169065
            194            194        52.2848        52.3333      -0.169063
            195            195        52.4515           52.5      -0.169014
            196            196        52.6181        52.6667      -0.168977
            197            197        52.7847        52.8333      -0.168951
            198            198        52.9513             53       -0.16893
            199            199         53.118        53.1667      -0.168879
            200            200        53.2846        53.3333      -0.168836
            201            201        53.4513           53.5        -0.1688
            202            202        53.6179        53.6667      -0.168757
            203            203        53.7845        53.8333       -0.16871
            204            204        53.9512             54      -0.168676
            205            205        54.1178        54.1667      -0.168661
            206            206        54.2844        54.3333      -0.168643
            207            207         54.451           54.5      -0.168643
            208            208        54.6177        54.6667      -0.168631
            209            209        54.7843        54.8333       -0.16863
            210            210        54.9509             55      -0.168624
            211            211        55.1175        55.1667      -0.168607
            212            212        55.2842        55.3333      -0.168591
            213            213        55.4508           55.5      -0.168586
            214            214        55.6174        55.6667      -0.168596
            215            215        55.7841        55.8333      -0.168481
            216            216        55.9507             56      -0.168425
            217            217        56.1173        56.1667      -0.168347
            218            218         56.284        56.3333      -0.168241
            219            219        56.4506           56.5      -0.168308
            220            220        56.6172        56.6667      -0.168282
            221            221        56.7839        56.8333      -0.168119
            222            222        56.9505             57      -0.168244
            223            223        57.1171        57.1667      -0.168195
            224            224        57.2838        57.3333      -0.168155
            225            225        57.4504           57.5      -0.168144
            226            226         57.617        57.6667      -0.168056
            227            227        57.7837        57.8333      -0.168047
            228            228        57.9503             58      -0.168028
            229            229        58.1169        58.1667      -0.168005
            230            230        58.2835        58.3333      -0.167979
            231            231        58.4502           58.5      -0.167933
            232            232        58.6168        58.6667      -0.167888
            233            233        58.7835        58.8333      -0.167834
            234            234        58.9501             59      -0.167783
            235            235        59.1167        59.1667      -0.167723
            236            236        59.2834        59.3333       -0.16767
            237            237          59.45           59.5      -0.167625
            238            238        59.6166        59.6667      -0.167578
            239            239        59.7833        59.8333       -0.16754
            240            240        59.9499             60      -0.167503
            241            241        60.1166        60.1667      -0.167464
            242            242        60.2832        60.3333      -0.167417
            243            243        60.4498           60.5      -0.167385
            244            244        60.6164        60.6667       -0.16735
            245            245        60.7831        60.8333      -0.167319
            246            246        60.9497             61      -0.167288
            247            247        61.1163        61.1667      -0.167239
            248            248         61.283        61.3333      -0.167181
            249            249        61.4496           61.5      -0.167121
            250            250        61.6163        61.6667      -0.167066
            251            251        61.7829        61.8333      -0.166895
            252            252        61.9496             62      -0.166771
            253            253        62.1163        62.1667      -0.166597
            254            254         62.283        62.3333      -0.166329
            255            255        62.4496           62.5       -0.16642
            256            256        62.6162        62.6667      -0.166473
            257            257        62.7828        62.8333      -0.166485
            258            258        62.9494             63      -0.166484
            259            259         63.116        63.1667      -0.166484
            260            260        63.2827        63.3333      -0.166434
            261            261        63.4493           63.5        -0.1664
            262            262        63.6159        63.6667      -0.166375
            263            263        63.7826        63.8333      -0.166346
            264            264        63.9492             64      -0.166292
            265            265        64.1158        64.1667      -0.166256
            266            266        64.2825        64.3333      -0.166218
            267            267        64.4491           64.5      -0.166172
            268            268        64.6157        64.6667      -0.166134
            269            269        64.7824        64.8333        -0.1661
            270            270         64.949             65       -0.16607
            271            271        65.1156        65.1667      -0.166046
            272            272        65.2823        65.3333      -0.166021
            273            273        65.4489           65.5      -0.165996
            274            274        65.6155        65.6667      -0.165971
            275            275        65.7821        65.8333      -0.165944
            276            276        65.9488             66      -0.165921
            277            277        66.1154        66.1667      -0.165894
            278            278         66.282        66.3333      -0.165863
            279            279        66.4487           66.5      -0.165831
            280            280        66.6153        66.6667       -0.16579
            281            281        66.7819        66.8333      -0.165749
            282            282        66.9486             67      -0.165708
            283            283        67.1152        67.1667      -0.165674
            284            284        67.2818        67.3333      -0.165627
            285            285        67.4485           67.5      -0.165576
            286            286        67.6151        67.6667      -0.165523
            287            287        67.7818        67.8333      -0.165474
            288            288        67.9484             68      -0.165436
            289            289         68.115        68.1667      -0.165397
            290            290        68.2817        68.3333      -0.165365
            291            291        68.4483           68.5      -0.165335
            292            292        68.6149        68.6667      -0.165318
            293            293        68.7815        68.8333      -0.165297
            294            294        68.9482             69      -0.165271
            295            295        69.1148        69.1667      -0.165251
            296            296        69.2814        69.3333      -0.165226
            297            297        69.4481           69.5      -0.165206
            298            298        69.6147        69.6667      -0.165188
            299            299        69.7813        69.8333      -0.165178
            300            300        69.9479             70      -0.165163
            301            301        70.1146        70.1667      -0.165151
            302            302        70.2812        70.3333      -0.165138
            303            303        70.4478           70.5      -0.165118
            304            304        70.6144        70.6667      -0.165093
            305            305        70.7811        70.8333       -0.16508
            306            306        70.9477             71       -0.16507
            307            307        71.1143        71.1667      -0.165058
            308            308         71.281        71.3333      -0.165066
            309            309        71.4476           71.5      -0.165066
            310            310        71.6142        71.6667      -0.165065
            311            311        71.7808        71.8333      -0.165067
            312            312        71.9474             72       -0.16509
            313            313        72.1141        72.1667      -0.165098
            314            314        72.2807        72.3333      -0.165104
            315            315        72.4473           72.5      -0.165116
            316            316        72.6139        72.6667      -0.165133
            317            317        72.7805        72.8333       -0.16515
            318            318        72.9471             73      -0.165173
            319            319        73.1138        73.1667      -0.165189
            320            320        73.2804        73.3333      -0.165206
            321            321         73.447           73.5      -0.165232
            322            322        73.6136        73.6667      -0.165263
            323            323        73.7802        73.8333      -0.165292
            324            324        73.9468             74      -0.165321
            325            325        74.1134        74.1667      -0.165361
            326            326        74.2801        74.3333      -0.165409
            327            327        74.4467           74.5      -0.165463
            328            328        74.6133        74.6667      -0.165522
            329            329        74.7799        74.8333      -0.165604
            330            330        74.9465             75      -0.165672
            331            331        75.1131        75.1667      -0.165734
            332            332        75.2797        75.3333      -0.165798
            333            333        75.4463           75.5      -0.165876
            334            334        75.6128        75.6667      -0.165956
            335            335        75.7794        75.8333      -0.166037
            336            336         75.946             76      -0.166116
            337            337        76.1126        76.1667      -0.166215
            338            338        76.2792        76.3333      -0.166315
            339            339        76.4458           76.5      -0.166423
