Title                                                           02.12.2022 08:56
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  !&BBImp_22_03_04
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]        [Wg^-1]
            120            120     -0.0460744              0      -0.227468
            121            121       0.120513       0.166667       -0.22757
            122            122       0.287107       0.333333      -0.227632
            123            123       0.453699            0.5      -0.227712
            124            124        0.62029       0.666667      -0.227793
            125            125       0.786882       0.833333      -0.227869
            126            126       0.953474              1      -0.227943
            127            127        1.12007        1.16667      -0.228007
            128            128        1.28666        1.33333      -0.228068
            129            129        1.45326            1.5      -0.228141
            130            130        1.61985        1.66667      -0.228223
            131            131        1.78644        1.83333      -0.228296
            132            132        1.95303              2      -0.228366
            133            133        2.11962        2.16667      -0.228443
            134            134        2.28621        2.33333      -0.228523
            135            135         2.4528            2.5      -0.228606
            136            136         2.6194        2.66667      -0.228676
            137            137        2.78599        2.83333      -0.228738
            138            138        2.95258              3      -0.228807
            139            139        3.11918        3.16667      -0.228883
            140            140        3.28577        3.33333      -0.228938
            141            141        3.45237            3.5      -0.228959
            142            142        3.61895        3.66667      -0.229134
            143            143        3.78553        3.83333      -0.229249
            144            144        3.95211              4       -0.22937
            145            145         4.1187        4.16667       -0.22946
            146            146        4.28532        4.33333      -0.229415
            147            147        4.45192            4.5      -0.229412
            148            148        4.61854        4.66667      -0.229379
            149            149        4.78515        4.83333      -0.229331
            150            150        4.95166              5      -0.229815
            151            151        5.11822        5.16667      -0.230015
            152            152         5.2848        5.33333      -0.230177
            153            153        5.45137            5.5      -0.230344
            154            154        5.61795        5.66667      -0.230484
            155            155        5.78452        5.83333      -0.230633
            156            156         5.9511              6      -0.230748
            157            157         6.1177        6.16667      -0.230788
            158            158        6.28427        6.33333      -0.230991
            159            159        6.45084            6.5      -0.231148
            160            160        6.61741        6.66667      -0.231289
            161            161        6.78399        6.83333      -0.231435
            162            162        6.95057              7      -0.231549
            163            163        7.11716        7.16667      -0.231644
            164            164        7.28376        7.33333      -0.231679
            165            165        7.45036            7.5      -0.231713
            166            166        7.61696        7.66667      -0.231745
            167            167        7.78355        7.83333      -0.231791
            168            168        7.95014              8      -0.231896
            169            169        8.11672        8.16667      -0.231985
            170            170        8.28329        8.33333      -0.232168
            171            171        8.44987            8.5      -0.232308
            172            172        8.61649        8.66667      -0.232243
            173            173        8.78311        8.83333      -0.232173
            174            174         8.9497              9      -0.232264
            175            175        9.11628        9.16667      -0.232357
            176            176        9.28286        9.33333      -0.232474
            177            177        9.44945            9.5      -0.232561
            178            178        9.61603        9.66667      -0.232671
            179            179        9.78262        9.83333      -0.232766
            180            180         9.9492             10      -0.232865
            181            181        10.1158        10.1667      -0.232958
            182            182        10.2824        10.3333      -0.233044
            183            183         10.449           10.5       -0.23315
            184            184        10.6155        10.6667      -0.233236
            185            185        10.7821        10.8333      -0.233302
            186            186        10.9487             11      -0.233392
            187            187        11.1153        11.1667      -0.233467
            188            188        11.2819        11.3333      -0.233535
            189            189        11.4485           11.5      -0.233596
            190            190        11.6151        11.6667      -0.233632
            191            191        11.7817        11.8333      -0.233792
            192            192        11.9482             12      -0.233909
            193            193        12.1148        12.1667      -0.234023
            194            194        12.2814        12.3333       -0.23414
            195            195         12.448           12.5      -0.234229
            196            196        12.6146        12.6667      -0.234329
            197            197        12.7812        12.8333      -0.234415
            198            198        12.9478             13      -0.234473
            199            199        13.1143        13.1667      -0.234702
            200            200        13.2809        13.3333      -0.234903
            201            201        13.4474           13.5      -0.235065
            202            202         13.614        13.6667      -0.235134
            203            203        13.7806        13.8333      -0.235233
            204            204        13.9472             14      -0.235364
            205            205        14.1138        14.1667      -0.235502
            206            206        14.2803        14.3333      -0.235647
